,Min,Max,Mean,Median,Variance,Std,Skewness,Kurtosis
AvgTemperture,51.1,102.7,81.84648241206031,85.05,185.31639817475286,13.613096568185831,-0.5287077546612675,-0.9039297920662488
AverageDew(point via humidity),15.3,63.9,36.754020100502515,37.25,79.33170923888967,8.90683497314785,0.0013327137180603424,-0.6678006180823908
Humidity,7.4,47.7,22.968090452261304,20.5,95.19119584066428,9.75659755450968,0.7310284882164281,-0.4141965961238694
Wind,4.4,17.1,10.146733668341708,10.1,6.295845727377441,2.5091523922188226,0.22322445578515926,-0.18297914261113224
Pressure,28.9,29.6,29.18304020100502,29.2,0.019667560092654593,0.14024107847793596,0.4486761802145791,-0.6338234404078968
Solar(PV),8.581428571,40.03885714,24.37525843500251,23.476,56.3634656729443,7.507560567384342,0.10851416505173188,-1.288023789739082
